"data","cidade","casos"
"2020-04-03","Barra do Piraí",2
"2020-04-03","Belford Roxo",0
"2020-04-03","Campos dos Goytacazes",0
"2020-04-03","Duque de Caxias",0
"2020-04-03","Guapimirim",0
"2020-04-03","Iguaba Grande",1
"2020-04-03","Itaboraí",0
"2020-04-03","Itaguaí",1
"2020-04-03","Macaé",1
"2020-04-03","Magé",1
"2020-04-03","Mangaratiba",0
"2020-04-03","Maricá",2
"2020-04-03","Mesquita",-1
"2020-04-03","Miguel Pereira",0
"2020-04-03","Nilópolis",1
"2020-04-03","Niterói",2
"2020-04-03","Nova Iguaçu",3
"2020-04-03","Petrópolis",0
"2020-04-03","Porciúncula",1
"2020-04-03","Queimados",1
"2020-04-03","Resende",0
"2020-04-03","Rio Bonito",0
"2020-04-03","Rio das Ostras",0
"2020-04-03","Rio de Janeiro",69
"2020-04-03","Seropédica",0
"2020-04-03","São Gonçalo",0
"2020-04-03","São João de Meriti",0
"2020-04-03","São Pedro da Aldeia",0
"2020-04-03","Teresópolis",0
"2020-04-03","Três Rios",1
"2020-04-03","Valença",0
"2020-04-03","Volta Redonda",1
"2020-04-04","Angra dos Reis",1
"2020-04-04","Araruama",0
"2020-04-04","Arraial do Cabo",0
"2020-04-04","Barra Mansa",0
"2020-04-04","Barra do Piraí",0
"2020-04-04","Belford Roxo",4
"2020-04-04","Campos dos Goytacazes",0
"2020-04-04","Duque de Caxias",4
"2020-04-04","Guapimirim",1
"2020-04-04","Iguaba Grande",0
"2020-04-04","Itaboraí",7
"2020-04-04","Itaguaí",0
"2020-04-04","Macaé",4
"2020-04-04","Magé",1
"2020-04-04","Mangaratiba",1
"2020-04-04","Maricá",2
"2020-04-04","Mesquita",1
"2020-04-04","Miguel Pereira",0
"2020-04-04","Nilópolis",0
"2020-04-04","Niterói",14
"2020-04-04","Nova Friburgo",1
"2020-04-04","Nova Iguaçu",8
"2020-04-04","Paraíba do Sul",2
"2020-04-04","Petrópolis",0
"2020-04-04","Porciúncula",0
"2020-04-04","Queimados",0
"2020-04-04","Resende",0
"2020-04-04","Rio Bonito",0
"2020-04-04","Rio das Ostras",0
"2020-04-04","Rio de Janeiro",115
"2020-04-04","Seropédica",0
"2020-04-04","São Gonçalo",0
"2020-04-04","São João de Meriti",1
"2020-04-04","São Pedro da Aldeia",0
"2020-04-04","Teresópolis",3
"2020-04-04","Três Rios",0
"2020-04-04","Valença",1
"2020-04-04","Volta Redonda",1
"2020-04-05","Angra dos Reis",1
"2020-04-05","Araruama",0
"2020-04-05","Arraial do Cabo",0
"2020-04-05","Barra Mansa",0
"2020-04-05","Barra do Piraí",0
"2020-04-05","Belford Roxo",8
"2020-04-05","Campos dos Goytacazes",1
"2020-04-05","Duque de Caxias",7
"2020-04-05","Guapimirim",0
