"city","city_ibge_code","date","epidemiological_week","estimated_population","estimated_population_2019","last_available_confirmed","last_available_confirmed_per_100k_inhabitants","last_available_date","last_available_death_rate","last_available_deaths","new_confirmed","new_deaths"
"Niterói",3303302,"2020-03-26",13,515317,513584,31,6.01571,"2020-03-26",0.0323,1,12,0
"Petrópolis",3303906,"2020-03-26",13,306678,306191,3,0.97822,"2020-03-26",0.3333,1,0,0
"Resende",3304201,"2020-03-26",13,132312,131341,1,0.75579,"2020-03-26",0,0,0,0
"Rio de Janeiro",3304557,"2020-03-26",13,6747815,6718903,368,5.45362,"2020-03-26",0.0163,6,37,1
"São Gonçalo",3304904,"2020-03-26",13,1091737,1084839,3,0.27479,"2020-03-26",0,0,0,0
"Valença",3306107,"2020-03-26",13,76869,76523,1,1.30091,"2020-03-26",0,0,0,0
"Volta Redonda",3306305,"2020-03-26",13,273988,273012,7,2.55486,"2020-03-26",0,0,1,0
"Barra Mansa",3300407,"2020-03-27",13,184833,184412,1,0.54103,"2020-03-27",0,0,0,0
"Belford Roxo",3300456,"2020-03-27",13,513118,510906,1,0.19489,"2020-03-27",0,0,0,0
"Campos dos Goytacazes",3301009,"2020-03-27",13,511168,507548,1,0.19563,"2020-03-27",0,0,0,0
"Duque de Caxias",3301702,"2020-03-27",13,924624,919596,3,0.32446,"2020-03-27",0,0,1,0
"Guapimirim",3301850,"2020-03-27",13,61388,60517,1,1.62898,"2020-03-27",0,0,0,0
"Itaboraí",3301900,"2020-03-27",13,242543,240592,1,0.4123,"2020-03-27",0,0,1,0
"Miguel Pereira",3302908,"2020-03-27",13,25581,25538,1,3.90915,"2020-03-27",1,1,0,0
"Niterói",3303302,"2020-03-27",13,515317,513584,36,6.98599,"2020-03-27",0.0278,1,5,0
"Petrópolis",3303906,"2020-03-27",13,306678,306191,3,0.97822,"2020-03-27",0.3333,1,0,0
"Resende",3304201,"2020-03-27",13,132312,131341,0,NA,"2020-03-27",0,0,-1,0
"Rio de Janeiro",3304557,"2020-03-27",13,6747815,6718903,431,6.38725,"2020-03-27",0.0139,6,63,0
"São Gonçalo",3304904,"2020-03-27",13,1091737,1084839,4,0.36639,"2020-03-27",0,0,1,0
"Valença",3306107,"2020-03-27",13,76869,76523,1,1.30091,"2020-03-27",0,0,0,0
"Volta Redonda",3306305,"2020-03-27",13,273988,273012,9,3.28482,"2020-03-27",0.1111,1,2,1
"Barra Mansa",3300407,"2020-03-28",13,184833,184412,1,0.54103,"2020-03-28",0,0,0,0
"Belford Roxo",3300456,"2020-03-28",13,513118,510906,1,0.19489,"2020-03-28",0,0,0,0
"Campos dos Goytacazes",3301009,"2020-03-28",13,511168,507548,1,0.19563,"2020-03-28",0,0,0,0
"Duque de Caxias",3301702,"2020-03-28",13,924624,919596,3,0.32446,"2020-03-28",0,0,0,0
"Guapimirim",3301850,"2020-03-28",13,61388,60517,1,1.62898,"2020-03-28",0,0,0,0
"Itaboraí",3301900,"2020-03-28",13,242543,240592,2,0.8246,"2020-03-28",0,0,1,0
"Mangaratiba",3302601,"2020-03-28",13,45220,44468,1,2.21141,"2020-03-28",0,0,1,0
"Miguel Pereira",3302908,"2020-03-28",13,25581,25538,1,3.90915,"2020-03-28",1,1,0,0
"Niterói",3303302,"2020-03-28",13,515317,513584,37,7.18005,"2020-03-28",0.027,1,1,0
"Nova Iguaçu",3303500,"2020-03-28",13,823302,821128,1,0.12146,"2020-03-28",0,0,1,0
"Petrópolis",3303906,"2020-03-28",13,306678,306191,3,0.97822,"2020-03-28",0.3333,1,0,0
"Resende",3304201,"2020-03-28",13,132312,131341,1,0.75579,"2020-03-28",0,0,1,0
"Rio de Janeiro",3304557,"2020-03-28",13,6747815,6718903,489,7.24679,"2020-03-28",0.0184,9,58,3
"São Gonçalo",3304904,"2020-03-28",13,1091737,1084839,4,0.36639,"2020-03-28",0,0,0,0
"Valença",3306107,"2020-03-28",13,76869,76523,1,1.30091,"2020-03-28",0,0,0,0
"Volta Redonda",3306305,"2020-03-28",13,273988,273012,11,4.01477,"2020-03-28",0.0909,1,2,0
"Barra Mansa",3300407,"2020-03-29",14,184833,184412,1,0.54103,"2020-03-29",0,0,0,0
"Belford Roxo",3300456,"2020-03-29",14,513118,510906,2,0.38977,"2020-03-29",0,0,1,0
"Campos dos Goytacazes",3301009,"2020-03-29",14,511168,507548,1,0.19563,"2020-03-29",0,0,0,0
"Duque de Caxias",3301702,"2020-03-29",14,924624,919596,5,0.54076,"2020-03-29",0,0,2,0
"Guapimirim",3301850,"2020-03-29",14,61388,60517,1,1.62898,"2020-03-29",0,0,0,0
"Itaboraí",3301900,"2020-03-29",14,242543,240592,3,1.23689,"2020-03-29",0,0,1,0
"Mangaratiba",3302601,"2020-03-29",14,45220,44468,1,2.21141,"2020-03-29",0,0,0,0
"Maricá",3302700,"2020-03-29",14,164504,161207,1,0.60789,"2020-03-29",0,0,1,0
"Miguel Pereira",3302908,"2020-03-29",14,25581,25538,1,3.90915,"2020-03-29",1,1,0,0
"Niterói",3303302,"2020-03-29",14,515317,513584,39,7.56816,"2020-03-29",0.0256,1,2,0
